id,Mold_date,Mold Week,Wafer_and_run,Generation,ChipProgresss,ChipFate,FailedAt,QCState,ChipPolarity,WaferID,WaferPrep,WaferNotes,MoldingTech,MoldMaterial,MoldCrosslinker,MoldRatio,BaseGrams,CrosslinkGrams,TotalMaterialGrams,AmountPoured,VacuumHours,VacTimeIn,VacTimeOut,MixAndVacTime,BakeTempC,BakeHours,BakeNotes,MoldHardwareDescription,MoldNotes,VacInMold?,MoldHandsOnHours,DiskWeight,ThicknessRangeMM,TopLeftThicknessMM,TopRightThicknessMM,BottomLeftThicknessMM,BottomRightThicknessMM,ThicknessNotes,CuttingNotes,CuttingHandsOnTimeHours,ReadyForPunching?,PunchDate,PunchTech,PunchDiameterMM,PunchNotes,FirstPunchTimeMinutes,SecondPunchTimeMinutes,ReadyForCleaning?,CleanDate,CleanTech,CleanMethod,CleanNotes,CleanHandsOnTimeMinutes,WSIScan,WSIDate,WSITech,VisualNotesAfterCleaning,HandsOnTimeScanningMinutes,DestinationCode,UsedCode,StudyID,StudyDate,StudyHypothesis,StudyResults,FluorTestDate,FluorTestHypothesis,FluorTestResults,DBiTDate,DBiTTissue,DBiTResults,ReportingMoldDate,ReportingPunchDate,ReportingCleanDate,ReportingMoldWeek,ReportingPunchWeek,ReportingCleanWeek,ReportingShippedTo,
1,7/17/2020,1,25um-1-A,Gen1,Ready for cleaning,-1,Cleaning,Failed at Cleaning,A,25um-1,,Even see the SU-8 failure here! Meaning the device was flawed when we got it?,JG/CN,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,50,2,Undercured - left overnight at RT,3mm bottom + 3mm spacer with windows,Leakage - too thin,No,,,,,,,,,,,1,8/10/2020,JG,1.75,100/100 punch success,,,1,,,,,,,,,,,-1,,,,,,,,,,,,7/17/2020,8/10/2020,0,1,5,,,
1,7/17/2020,1,25um-1-B,Gen1,Ready for cleaning,-1,Cleaning,Failed at Cleaning,B,25um-1,,,JG/CN,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,50,2,Undercured - left overnight at RT,3mm bottom + 3mm spacer with windows,Leakage - too thin,No,,,,,,,,,,,1,8/9/2020,JG,1.75,100/100 punch success,,,1,,,,,,,,,,,-1,,,,,,,,,,,,7/17/2020,8/9/2020,0,1,5,,,
0,7/22/2020,2,25um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,25um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,80,12,,"6mm acrylic bottom, 3 mm spacer with window, and 6 mm acrylic roof with 5mm diameter inlet holes for syringe piping of vac’d bubble free PDMS into window.",Too much air in syringe,Yes,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/22/2020,0,0,2,,,,
0,7/22/2020,2,25um-1-B,Gen1,Pre-punch,-1,Molding,Failed at Molding,B,25um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,80,12,,"6mm acrylic bottom, 3 mm spacer with window, and 6 mm acrylic roof with 5mm diameter inlet holes for syringe piping of vac’d bubble free PDMS into window.",Too much air in syringe,Yes,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/22/2020,0,0,2,,,,
1,7/23/2020,2,25um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,25um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.3,,,,80,1.5,,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/23/2020,0,0,2,,,,
1,7/23/2020,2,25um-1-B,Gen1,Pre-punch,-1,Molding,Failed at Molding,B,25um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.3,,,,80,1.5,,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/23/2020,0,0,2,,,,
0,7/27/2020,3,10um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,77,6,Was cured at hour 2.,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/27/2020,0,0,3,,,,
0,7/27/2020,3,10um-1-B,Gen1,Pre-punch,-1,Molding,Failed at Molding,B,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,77,6,Was cured at hour 2.,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/27/2020,0,0,3,,,,
1,7/28/2020,3,10um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,77,18,Overnight,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/28/2020,0,0,3,,,,
1,7/28/2020,3,10um-1-B,Gen1,Pre-punch,-1,Molding,Failed at Molding,B,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,22,,0.5,,,,77,18,Overnight,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/28/2020,0,0,3,,,,
0,7/29/2020,3,10um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,33,,1.25,,,,77,3,,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/29/2020,0,0,3,,,,
0,7/29/2020,3,10um-1-B,Gen1,Pre-punch,-1,Molding,Failed at Molding,B,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,33,,1.25,,,,77,3,,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/29/2020,0,0,3,,,,
0,7/29/2020,3,25um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,25um-1,Forced air,Even see the SU-8 failure here!,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,33,,1.25,,,,77,3,,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/29/2020,0,0,3,,,,
0,7/29/2020,3,25um-1-B,Gen1,Used,1,Pass,Used,B,25um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,33,,1.25,,,,77,3,,"6mm acrylic bottom, 3 mm spacer with window, no roof",,No,,,,,,,,,,,1,8/14/2020,JG,1.75,"50/50 good, can try common outlet trick",,,1,,,,,,Yes,8/14/2020,,Looks good! Common outlet punches successful.,,1,1,,8/24/2020,"Good flow, but lots of backflow","49/50 flow, lots of backflow crosstalk.",,,,,,,7/29/2020,8/14/2020,0,3,5,,,
1,7/31/2020,3,10um-1-A,Gen1,Pre-punch,-1,Molding,Failed at Molding,A,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,29.7,,1,,,,77,6,,"6mm acrylic bottom, 3 mm spacer with window, no roof",Inner strip bending-got leakage between bottom and spacer,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/31/2020,0,0,3,,,,
1,7/31/2020,3,10um-1-B,Gen1,Pre-punch,-1,Molding,Failed at Molding,B,10um-1,Forced air,,JG,Sylgard 184,Sylgard 184 Silicone Elastomer Curing Agent,10.0,,,29.7,,1,,,,77,6,,"6mm acrylic bottom, 3 mm spacer with window, no roof",Inner strip bending-got leakage between bottom and spacer,No,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,7/31/2020,0,0,3,,,,
